Gene Symbol,pTS
SACM1L,0.88814
ABCB1,0.88813
ZC3H18,0.7662
MCM6,0.85088
USF1,0.88802
KCNJ2,0.64733
KEAP1,0.88792
RYR1,0.88788
ITPK1,0.72002
SHISA7,0.88784
TRMT1,0.88781
NUCB1,0.88767
DSG1,0.46308
KIFC3,0.88742
VCL,0.88731
ATP1B2,0.88723
SERTAD2,0.59737
FAM65B,0.72484
BSN,0.69215
PRKAA1,0.62075
EXOC6B,0.8866
CIZ1,0.88656
MED26,0.71441
ABCG4,0.88632
RBMS3,0.45258
WDR11,0.59523
SEMA7A,0.88615
APBB2,0.84639
RUFY2,0.88572
C1QTNF5,0.88565
FES,0.88556
FAM83H,0.6214
PLEKHH3,0.88541
RBPMS2,0.50228
KPTN,0.88534
MPP5,0.64556
PPP1R12C,0.88511
TMEM151A,0.885
SAMD8,0.88466
GRINA,0.88441
DPAGT1,0.88437
BRMS1L,0.88436
MYNN,0.53714
SMYD5,0.88432
ZNF385D,0.1388
LARS,0.88424
PIK3R4,0.81429
PPM1H,0.64762
FOSB,0.88415
AQP3,0.88413
CHAMP1,0.16129
SLC4A3,0.88404
ABCD3,0.88394
SLC5A3,0.50936
ADAMTS10,0.88383
TMEM184C,0.88356
INTS12,0.5881
ABCA1,0.52604
SHFM1,0.28745
HINFP,0.88331
AKTIP,0.88322
SPIN1,0.8651
SV2A,0.88301
TMEM8B,0.88285
PTHLH,0.30915
SYDE1,0.88264
ELOVL4,0.52348
WIPF1,0.30279
BHLHE41,0.36547
DSTN,0.39388
TTYH1,0.88214
PDGFA,0.37918
RCAN2,0.66485
NAE1,0.88174
SGMS1,0.55346
E2F5,0.88162
DCTN5,0.88151
CHTOP,0.88146
SRSF5,0.87285
TSPAN14,0.88123
IDH3A,0.88112
PCGF2,0.87484
STXBP5L,0.8272
KCND2,0.88083
STK16,0.88077
RPL18A,0.79936
ZDHHC14,0.65381
TP53I11,0.88048
TRAM2,0.79517
RGMA,0.29597
PICK1,0.88007
PDE4A,0.88004
URGCP,0.64181
NCKAP1L,0.73608
PTPN9,0.87989
TSN,0.82658
HSD11B1,0.87968
PSME2,0.87967
TNKS2,0.85749
AXL,0.87959
GRASP,0.87557
CAPRIN2,0.43994
ZIC2,0.87931
METTL14,0.87929
CTD-3193O13.9,0.87922
PKN3,0.87918
PIAS3,0.78261
TROVE2,0.63723
PCDHAC2,0.87899
MCU,0.87874
CTDSP1,0.87854
USO1,0.71777
MYH11,0.23038
MAGI3,0.85427
LRFN5,0.26541
UBE2J2,0.87836
NUAK1,0.33977
DPM2,0.87815
TIPRL,0.78302
YPEL2,0.87809
ADCY9,0.37001
TKT,0.87804
GBE1,0.12835
MFAP4,0.87795
UHMK1,0.7051
ARHGEF11,0.87057
EPT1,0.87779
GOLPH3,0.4847
SLC35E1,0.87764
VSIG8,0.87742
FAM192A,0.87714
MCAM,0.87712
B3GALT2,0.87705
APBB1IP,0.4358
STAT4,0.87692
YPEL3,0.87687
ZBED5,0.22099
RPS6KA2,0.86637
SSH3,0.87676
TMEM147,0.87674
GAD2,0.87667
PLEKHG4,0.87664
PODXL2,0.80972
TMEM108,0.38858
TSHZ2,0.52803
EIF3F,0.35337
ACSL3,0.60104
SMC6,0.77732
RAB5A,0.39646
LMO7,0.30969
PLCG2,0.58975
NR2E1,0.87588
FAM160A2,0.84912
NFYC,0.87562
FBRS,0.79936
SULT4A1,0.87557
REPIN1,0.87553
TBC1D30,0.74654
ATP11B,0.66095
MAP4K3,0.6728
TRIM71,0.80225
ATG13,0.85561
TRIP10,0.87512
IRF1,0.87508
CDV3,0.51758
NELL2,0.71163
SMNDC1,0.85473
PPIA,0.69839
SOX11,0.34511
VPS72,0.87472
FAM196A,0.13142
FAM89B,0.87426
ANGPT2,0.26045
CDH4,0.87383
RLTPR,0.87374
FBXO2,0.87371
CXXC4,0.55052
CTSS,0.87356
FGF18,0.87352
CPNE2,0.87351
RP11-111M22.2,0.87345
APBA1,0.6623
CDH18,0.1683
GRWD1,0.87331
UBC,0.42382
ZFAND3,0.73358
NOP9,0.87325
GRM2,0.87322
ERC1,0.48096
CBL,0.87315
PDAP1,0.87308
SNX15,0.87306
CCNA2,0.33614
IRS1,0.31961
FAM13B,0.86905
GMFB,0.87284
FCHO1,0.87279
CCNI,0.49704
ZNF541,0.87259
GJA1,0.54596
CRAMP1L,0.87255
HACE1,0.82952
CORO2B,0.8724
STYX,0.87234
ARPP19,0.62885
IDH2,0.8719
KCTD17,0.87179
TBC1D22B,0.87179
ZNF331,0.64163
ELOF1,0.87163
PIN1,0.87158
DGKH,0.87147
PKNOX1,0.72055
MSH2,0.30502
TOM1,0.8713
GCDH,0.87126
RAP1GDS1,0.67345
KLF16,0.87114
SEMA6B,0.87104
PER2,0.82469
KCNAB2,0.87102
PTPLAD1,0.87091
COL4A2,0.43046
LOXL3,0.87084
ASCC3,0.53452
GOLT1B,0.74738
KTN1,0.48733
SPCS3,0.70081
CSMD3,0.44159
FCGRT,0.87042
PLCD3,0.87042
SMO,0.87023
H2AFZ,0.63984
PTPN21,0.29389
TENC1,0.87021
ATP6V0B,0.86999
ARMC1,0.86996
NEUROD6,0.86995
CACYBP,0.74128
SERPINE2,0.56683
PLXDC2,0.3312
PREB,0.86965
TP53BP2,0.64981
SNCB,0.86925
UNC13B,0.86925
ALAD,0.86921
PDXK,0.8691
PARK7,0.29434
PLEKHF2,0.77474
PPP4R4,0.86876
LSM7,0.86875
SERPINC1,0.86873
RPRD1A,0.86866
PFKL,0.86864
TOP3A,0.86863
ARAP2,0.28361
EPN1,0.86854
NCS1,0.8685
SCUBE1,0.50094
NTNG1,0.86172
SAMD14,0.86826
TSC22D4,0.86825
ADK,0.86821
KCNK9,0.86817
C11orf73,0.72599
ZNF496,0.58012
ADRBK2,0.85633
ANLN,0.65716
PDE8A,0.60171
TAF2,0.86775
RPS6KA1,0.86767
ADARB1,0.51372
PRDM16,0.61293
ARHGAP1,0.86741
VPS28,0.86739
AGRN,0.86738
STC1,0.86723
TEX261,0.86699
UBR1,0.86695
YES1,0.48054
RBCK1,0.86659
TRIP6,0.86648
SLC39A9,0.83446
VPS4B,0.76432
TTC9B,0.86636
EOMES,0.4352
PRPF40B,0.79198
B3GNT2,0.56367
UACA,0.14957
TOLLIP,0.86599
MAP7,0.48621
ZNF143,0.86594
FAM117A,0.86582
SEZ6L2,0.86581
FOXF2,0.1344
ANKRD10,0.33597
CCDC85C,0.72796
LOXL1,0.48555
PTP4A1,0.71031
MYO6,0.78524
KLHL14,0.86559
CNTNAP5,0.23705
FEM1C,0.50482
VPS13D,0.72527
BCL7C,0.86507
CHAF1B,0.60124
DNTTIP1,0.86499
SNRNP27,0.86498
PHF21B,0.38508
AC005358.1,0.2575
SRP68,0.86476
KIAA1671,0.5311
KLHDC2,0.8647
WDR37,0.67
RHOG,0.86442
NDEL1,0.86442
POMP,0.32965
CADPS2,0.86423
SLC9A1,0.86417
DDX27,0.86401
RALGAPA2,0.72553
RIMS4,0.86396
RAP1A,0.86396
TMX3,0.28026
VEGFC,0.32718
FBXO31,0.8637
LEMD2,0.86367
C1orf85,0.86358
CPEB2,0.19876
RPL26,0.71869
SENP7,0.86333
NR5A2,0.64183
KCNK3,0.86314
ABCF3,0.86308
CNIH1,0.7806
VASH1,0.86278
DIP2A,0.54264
CDH20,0.57968
RIMKLB,0.48862
KIAA1598,0.82831
SMIM14,0.56785
STK38,0.86254
RNF19B,0.7107
TBC1D10A,0.8623
NRGN,0.86227
VMP1,0.76993
TPCN1,0.86176
GOLGA2,0.76737
B4GALT6,0.84374
GOLIM4,0.33238
RNF26,0.8614
LRIG3,0.1944
SOGA2,0.24859
GTF2E1,0.71058
TNC,0.30367
GSE1,0.67704
PRKCI,0.83372
SLC25A3,0.61683
AL590822.2,0.86009
ACSBG1,0.86009
ATG4D,0.86008
PLEKHG3,0.85998
RCC1,0.8599
LAMTOR2,0.8599
TBC1D13,0.85989
B3GALT6,0.85978
MYEF2,0.5032
TF,0.85976
PAIP2,0.8596
CDC25A,0.8596
PEX6,0.85956
FGFR4,0.85955
KIAA1107,0.73971
CMPK1,0.80669
ZNF513,0.85931
TECPR1,0.85926
UBE2W,0.85915
BCAR3,0.55279
L3MBTL2,0.85897
SPRED2,0.5411
KCNA1,0.85891
SMURF1,0.73095
ARL1,0.85875
KCNIP1,0.85842
TGM1,0.85839
RNF25,0.85836
UNKL,0.85832
TUBB4A,0.85828
DUS3L,0.85828
TMEM208,0.85825
SLC1A2,0.85823
PLEKHA7,0.35588
HS6ST3,0.30188
PNKD,0.85811
SCHIP1,0.6439
TNFRSF21,0.44243
CAMKK2,0.85774
NUDC,0.85772
RPL12,0.5432
UBASH3B,0.85754
TEF,0.85743
FAM65A,0.85741
C16orf72,0.38041
NIPA2,0.39482
ZNF414,0.8566
BEST4,0.85654
CASD1,0.85651
EZR,0.68527
CASC5,0.37264
PATL2,0.85626
SORL1,0.49659
ABLIM3,0.85623
GPSM1,0.85612
TRPM3,0.85607
ITGA6,0.64712
FIBP,0.85596
PSENEN,0.85585
POLR2G,0.85578
DMTN,0.84123
GPI,0.85575
SMPD3,0.85566
C10orf76,0.85565
CLK4,0.85555
MCTP1,0.85499
KLHL20,0.85481
FAXC,0.52807
SSU72,0.85471
HNRNPF,0.81243
RPS10,0.84368
CLTA,0.79008
TMEM189,0.85427
EXOC3,0.77616
RPL27,0.70332
SNRPF,0.85411
ITGA2,0.50907
WBP1L,0.75894
EPG5,0.6973
ERBB3,0.8538
TMEM184B,0.85349
ALG6,0.85341
ESYT2,0.10818
PLCB2,0.85318
NR2C1,0.84711
C1orf228,0.85305
ERLIN2,0.85296
KLHL24,0.85291
ATP8B1,0.28443
KCNN3,0.85287
PRRT2,0.85273
RIN2,0.49423
EXOC7,0.85242
ANKRD13D,0.85236
ABCA12,0.48762
PANX2,0.85216
MAP3K2,0.85213
DNAH10,0.85204
LRRTM3,0.55845
FOXN2,0.46015
FAM73B,0.85177
KCNH7,0.85157
HSPA12B,0.8515
CHMP7,0.66907
SEMA6C,0.85146
SUDS3,0.85138
SERPING1,0.62935
KIAA1033,0.85113
GPR98,0.39572
RP11-343C2.11,0.85077
SLC5A6,0.85068
AC018755.1,0.85061
STX5,0.85058
MROH1,0.85054
AKIRIN2,0.76787
CPD,0.85034
SGTB,0.85024
SMC5,0.66628
PHF17,0.33366
SLC25A23,0.85016
NFATC3,0.78737
DIXDC1,0.85007
GPC2,0.84988
GOLGA4,0.24786
PARP10,0.84981
BLOC1S1,0.8498
TSPYL4,0.84975
ITPKA,0.84949
SEC14L2,0.84933
TMEM132E,0.84918
OAZ2,0.84918
TRABD,0.84907
CYCS,0.61438
MRTO4,0.84891
VPS13C,0.29948
COPS7A,0.84854
SHH,0.67923
JUP,0.84797
GFOD1,0.84792
APOA1BP,0.84781
GRHL1,0.57883
CYP26B1,0.74754
AKAP8L,0.84766
TMTC2,0.30271
COPS8,0.27141
TRPC3,0.84732
SWAP70,0.29869
COPZ1,0.84725
INPP5A,0.78582
PGM2L1,0.84711
RAC2,0.7946
BRE,0.84698
ADM5,0.8469
CCR10,0.84683
KCNIP4,0.6895
TRAPPC1,0.84677
KRTAP16-1,0.84677
PIKFYVE,0.64528
SOCS7,0.76276
NPR2,0.84642
CBX7,0.83635
CHRM3,0.29589
C15orf62,0.84571
SHISA4,0.84568
FAM43A,0.84564
UROD,0.84553
ZNF410,0.8454
RSBN1,0.84516
RHOQ,0.81402
EMC3,0.84505
CDH5,0.52616
ATG2B,0.72479
CCNE2,0.84488
NTMT1,0.84488
ERI3,0.84482
SEC11C,0.82273
NUP214,0.56885
RIT1,0.84459
TBC1D4,0.31616
HEY2,0.24515
ANO4,0.84443
UBLCP1,0.84434
PJA2,0.22641
RAB2B,0.84422
DIRAS1,0.84414
ABI2,0.77917
YIF1B,0.84396
ANKRD40,0.84393
KCNB2,0.43222
PTGER4,0.2456
AP1S1,0.84349
LMNB1,0.78036
NR1H2,0.84333
EDNRB,0.58184
TOB2,0.62381
NUDT3,0.84318
ZNF296,0.84314
HTRA1,0.71903
PIGR,0.4507
DNAJB14,0.79645
NRN1,0.574
ARC,0.84271
VPS16,0.84254
LIN7B,0.84236
NPTX1,0.84234
ZFP36L2,0.29002
SLC2A13,0.57786
C1orf21,0.71014
PNRC1,0.28974
TMEM39A,0.74487
CTSD,0.84199
HNRNPA0,0.46731
NAGS,0.84192
TPX2,0.52234
BRSK2,0.84179
SLC7A6,0.84177
SCN1B,0.84176
NELFA,0.84171
ATP5D,0.84169
RGS14,0.84168
KRT1,0.84157
RNF19A,0.41636
TPGS1,0.84152
SLC48A1,0.84151
KHDRBS3,0.34738
DSTYK,0.82925
CREB5,0.7407
PLOD2,0.45704
NEDD9,0.28544
SH3GL1,0.84086
USP31,0.42161
DR1,0.69236
SEMA4B,0.84068
TBK1,0.84052
SCAP,0.84051
LPAR1,0.62579
GNAZ,0.83993
C11orf58,0.68499
EIF4EBP3,0.83986
KCNQ5,0.78035
PFKM,0.83975
SHKBP1,0.83973
C2CD5,0.71497
TOP2A,0.83968
AL031666.2,0.83947
SSB,0.83939
MEAF6,0.83929
NSUN2,0.64926
NAPB,0.83924
THOP1,0.83921
SACS,0.37084
POU3F2,0.82863
FGD4,0.36142
PRCC,0.76288
KRT18,0.76589
RIPK2,0.41911
FAT2,0.8384
LINGO1,0.80932
RGS6,0.83817
AGPAT6,0.83815
TPM2,0.83814
NAP1L4,0.54812
ACSL1,0.83805
CDH10,0.54912
SNCA,0.63622
IKBKB,0.83796
CABIN1,0.83794
LINGO2,0.25173
GNA11,0.8379
NDFIP1,0.77253
DUS1L,0.8376
NOP2,0.73393
PLOD3,0.83753
HCN4,0.59821
SVOP,0.69431
AUP1,0.83738
DCAF6,0.81696
ZNF768,0.83735
FOXG1,0.83729
ATXN1L,0.68988
DGKD,0.83701
CISD2,0.83688
CA10,0.83687
EIF2D,0.83683
PDGFB,0.52588
CENPE,0.58101
NABP2,0.83664
PFDN4,0.4745
FAU,0.8366
HPDL,0.83658
WDFY4,0.83646
ANAPC5,0.83626
FXYD6,0.83618
GALNT13,0.4617
EIF2A,0.83585
GDA,0.68517
TOPAZ1,0.40556
RPL23,0.73836
ARHGAP39,0.83562
ORC2,0.76571
KLF13,0.83536
DISP2,0.83536
CRKL,0.79505
EIF2AK3,0.67124
TOR4A,0.83507
HM13,0.79583
SIRT1,0.83499
ABHD13,0.76551
SYT5,0.8349
ITPKC,0.83483
SPRYD3,0.83482
SMTN,0.83475
CDH22,0.83475
ELF1,0.46462
MCF2L,0.83471
TUBGCP4,0.83464
PGM3,0.83463
DDX50,0.83462
TMEM194A,0.8345
GBF1,0.8345
VPS29,0.79715
HEG1,0.46288
SEPHS2,0.83446
FKBP1B,0.83437
TRMT1L,0.34931
SHPRH,0.62741
RPL38,0.4545
ALB,0.83381
JPH1,0.53118
THOC5,0.83363
SRRM3,0.8336
TCF7L1,0.68191
HOOK1,0.58236
NID1,0.44273
RAB3A,0.83337
C2CD3,0.83335
GREB1,0.83327
RASGRP3,0.38392
CIAO1,0.83283
COL17A1,0.51621
PAQR8,0.83272
ABL2,0.75881
RPL34,0.51735
UGDH,0.8327
N4BP3,0.83268
RWDD1,0.66792
KLHL11,0.83235
INSR,0.83235
CD164,0.14232
EFNA3,0.83223
GIPC1,0.83223
PHC2,0.83222
ZC3H12A,0.83211
FADS3,0.83211
BTF3L4,0.8321
FAM167B,0.83208
ISG20L2,0.83204
GPR61,0.83199
DLGAP4,0.69458
CRY1,0.83186
TNR,0.83185
UBALD2,0.83182
FAM193B,0.57904
SLC39A8,0.83161
SYT3,0.83161
NUP50,0.48682
ARHGAP30,0.60286
IGDCC4,0.83132
RNF167,0.60455
SLC39A1,0.83129
CRABP2,0.83125
ALDH1A3,0.34125
SORCS2,0.83121
GPR124,0.83105
PIK3C3,0.31321
MTUS2,0.41263
ERGIC3,0.83081
SAP30BP,0.83075
GRIP1,0.65231
ENOPH1,0.83075
ABCD2,0.83073
TNNC1,0.83064
KDSR,0.76225
DGKA,0.83055
ADD2,0.83047
TRIM44,0.38279
NECAP1,0.83042
CBS,0.83009
NFKBIB,0.83006
MLXIP,0.83001
SYT14,0.48186
CHRNB1,0.8299
SCNN1G,0.57846
VAMP2,0.82981
SLC30A5,0.8298
RACGAP1,0.82968
SH2D3C,0.82962
ITGB5,0.43079
EPHB6,0.82941
TAF12,0.74398
MPP3,0.82928
NFKBID,0.82928
IL11RA,0.82925
EXOC3L1,0.82922
SRRM4,0.82919
TAB1,0.82918
POU4F1,0.5557
KCNMB4,0.82885
GDPD5,0.82858
CBX2,0.20437
SH3PXD2B,0.35804
POU3F3,0.82837
CADPS,0.80462
MYO1D,0.82833
RUNDC1,0.82832
DRD2,0.82825
LMO4,0.70164
ING2,0.3101
IGFBP4,0.82813
EMILIN1,0.82809
PGRMC2,0.37118
RAB12,0.82794
CTNNA2,0.82786
PSMB5,0.74979
FDXR,0.82752
TMEM214,0.82746
MTA3,0.4048
SH3BP4,0.10924
GRM1,0.68312
EPOR,0.82642
PHLDA1,0.32493
PPIH,0.82612
TCEB1,0.82609
FAT1,0.16127
METAP1,0.8259
MIER1,0.82587
TBP,0.7168
USP4,0.8257
PDE7A,0.82569
RPL22,0.82546
ARHGEF33,0.82545
ENHO,0.82535
AGPAT3,0.82528
TSTD1,0.82526
RNF10,0.8252
DENND4C,0.34797
KLHL8,0.82499
FGF7,0.64835
HYPK,0.82492
MCM5,0.82484
IPO11,0.80702
GABRB1,0.80091
RNF126,0.78045
PTPN6,0.75492
MPHOSPH10,0.82436
GPR85,0.82413
ZBTB41,0.68739
TDRD5,0.41153
INPP5F,0.7964
CKAP4,0.33511
NCALD,0.55512
RGS12,0.81896
EGR2,0.5591
KLC4,0.82359
SNX6,0.65934
TMEM87A,0.82305
TLL1,0.66268
CWC22,0.57857
TBC1D22A,0.39959
ABTB1,0.82278
PLAA,0.54805
PAK1,0.82273
CACNA2D3,0.79267
BCKDK,0.8226
YARS,0.82256
CTBP2,0.82252
SDF2L1,0.8225
FITM1,0.82245
PURG,0.82236
GSN,0.82235
JOSD2,0.82213
TMED7,0.82181
CEP250,0.82178
FBXO8,0.82171
RAB11FIP3,0.34814
MDK,0.82148
INTS1,0.82144
AK9,0.82143
SELT,0.8214
DHFR,0.82137
SCARF1,0.82104
FAM76B,0.59624
SLC6A7,0.82092
HBEGF,0.82084
HMHA1,0.82078
EIF5A,0.81227
SEC61B,0.8207
SBF2,0.47685
GOLGB1,0.69253
VPS45,0.82059
LRRC16A,0.82058
NFX1,0.71169
CHST14,0.82056
PEG10,0.82051
HCFC1R1,0.82051
ARHGEF28,0.44325
ZBTB42,0.82036
TSPAN3,0.47377
MTFR1L,0.82029
DOCK8,0.26157
ARFGAP2,0.82024
WASF3,0.5157
SNX17,0.82012
SLC29A1,0.71068
FAM171B,0.57321
GNE,0.8197
BMP2K,0.50358
BRINP3,0.12616
ARHGAP33,0.81937
WDR47,0.81926
CHST11,0.76611
RHBDF1,0.81924
RP11-468E2.4,0.81917
OPCML,0.81912
KATNBL1,0.50908
MIER2,0.54845
H2AFV,0.8189
PPIE,0.81882
GNB2,0.81881
VAC14,0.81874
RAB28,0.22425
SCRT1,0.8187
TDRD1,0.4471
GMPPB,0.81846
PHF15,0.81037
TBC1D19,0.69296
RHBDL1,0.81825
FCHSD2,0.78312
BANF1,0.81809
VPS8,0.81808
GATAD1,0.81803
BRD9,0.81802
LRRC8C,0.81802
MAFF,0.81793
TRAPPC13,0.81784
PCBP3,0.8102
ATF1,0.78857
CRNKL1,0.81755
AKAP9,0.6771
SCARB1,0.40381
ALS2,0.81729
WDR19,0.81726
ABHD8,0.81717
BZW2,0.74721
CYP17A1,0.81702
TRPM7,0.49719
GNAI3,0.81691
TBCB,0.81681
RGS7BP,0.5167
URB1,0.81664
ADAM9,0.77065
VEGFA,0.81658
TMEM256-PLSCR3,0.81649
ST3GAL1,0.66416
PLA2G15,0.81621
ZNF740,0.81618
SULT2B1,0.81605
NOXA1,0.81605
IARS2,0.57139
ADPRHL2,0.81602
HUNK,0.46843
PLCH2,0.81596
TCFL5,0.66509
WDR83OS,0.81572
CALCOCO1,0.81571
FNBP1,0.80818
S100PBP,0.4771
PAFAH1B3,0.81553
USP30,0.81547
MIOS,0.22686
MLTK,0.49869
MVP,0.81525
GNMT,0.81512
TMEM180,0.8151
GTF3C3,0.81507
FBXO46,0.81506
C1orf43,0.81505
TRPC4AP,0.78573
ABCC8,0.81466
PEX3,0.7665
DLGAP2,0.13517
CSF1R,0.81428
CYC1,0.81424
ATP5G1,0.81421
SCYL2,0.72144
REEP4,0.81408
NEDD1,0.38399
AMDHD2,0.81403
SPATS2,0.67241
APBB3,0.81389
RPS15,0.76706
ASCC2,0.81376
TMEFF1,0.81365
FLT3LG,0.8136
RPL31,0.53509
HIF1AN,0.81358
NOSIP,0.81358
CNOT11,0.81356
ZFYVE1,0.81332
TBC1D5,0.31619
TIMM44,0.81324
MYO1C,0.81316
SGK3,0.81313
NCOA7,0.60688
SPIB,0.81305
DHDDS,0.81302
FBXO18,0.78248
SEPN1,0.81296
TEX2,0.54139
DDX39A,0.8128
RPA1,0.80809
PDCD4,0.2599
IL16,0.81246
CCDC155,0.81243
DUS2,0.81239
C1QL3,0.81212
PARP1,0.81212
GABRB3,0.64395
GPR137C,0.81197
HSPE1,0.49621
SZRD1,0.60227
KATNAL1,0.45147
RASGRP2,0.81143
PYGO1,0.13204
MAP4K2,0.81141
DTX4,0.81131
RINL,0.81124
ANGPTL2,0.66706
GATA2,0.55025
ALDH18A1,0.81093
MIEF2,0.81084
MESDC1,0.81081
STXBP3,0.81068
CD2AP,0.39739
NCKIPSD,0.8106
TSSK3,0.8106
EMX2,0.81051
IFT80,0.81039
NNAT,0.81034
SLC35A1,0.72611
DOCK5,0.49413
IDE,0.78235
YKT6,0.80981
FBXL15,0.80974
SDC2,0.47702
RXRG,0.79009
TRMT12,0.80961
PVRL3,0.47085
EEF1D,0.8093
RAD50,0.80904
POLR2H,0.80899
AREL1,0.80898
SORBS2,0.19822
ASIC2,0.77232
KCNJ4,0.80874
EDC3,0.80874
S1PR1,0.4744
SH3RF1,0.13235
ARPC5,0.74345
NR5A1,0.80534
PAK6,0.80821
MARS,0.80815
TNIP1,0.80812
CISD3,0.80809
NIN,0.55963
CD59,0.17298
TOMM20,0.8079
EPHA1,0.80766
RTKN,0.80763
MLH1,0.80761
LRIG1,0.29159
MARCKSL1,0.8075
AP4E1,0.53512
RAP2B,0.80739
RPS26,0.64876
NCKAP5L,0.64354
ZNF335,0.8072
LLGL2,0.80718
PSD2,0.80718
SIRPA,0.66974
CCS,0.80699
ATP6V1E1,0.80684
ERGIC2,0.54637
FRMD8,0.80654
CNOT8,0.8065
GALE,0.8063
ZNF207,0.80624
POLR3B,0.80608
HBP1,0.80603
DDB2,0.80594
DOCK10,0.7658
APOD,0.11806
TMCO6,0.80561
RAB40C,0.80556
SULF2,0.80555
PSME1,0.80551
ZYX,0.80537
CRYM,0.80536
GPR126,0.36963
MAN1A1,0.39493
PMPCA,0.80529
SHF,0.80525
SESN1,0.80515
TNNT2,0.80506
TGFB1,0.80498
PPP1R7,0.80491
TNS1,0.40717
VLDLR,0.18232
LIG3,0.80461
DENND6A,0.80457
KCNK5,0.25902
KIFAP3,0.8042
ELK3,0.47056
SIRT6,0.80409
EDEM3,0.56303
MTR,0.61552
STK36,0.80384
ING5,0.80374
DENND6B,0.80362
FAM149B1,0.80359
PREP,0.60788
UST,0.71206
HPX,0.80328
CHRM1,0.80323
HIC2,0.50848
ZBTB48,0.80313
ARL14EP,0.33738
ARHGEF10L,0.80289
SNTB2,0.80287
RANGAP1,0.80287
GALNT16,0.80283
RNF170,0.8028
TMEM132A,0.8028
STMN4,0.80278
YPEL5,0.7703
PLEKHA4,0.80271
BRMS1,0.80256
ST6GAL1,0.4846
LIFR,0.37124
NLE1,0.80248
CDIP1,0.80242
VASP,0.80239
AKIRIN1,0.49818
GRN,0.80229
CDC42BPG,0.80222
NECAB3,0.80211
NCK1,0.80203
NUMB,0.802
DDX18,0.61308
BEND6,0.80178
TAF4B,0.53971
PCOLCE,0.80169
CTD-2545M3.6,0.80156
CCNG1,0.59248
KCTD6,0.8015
CLCN2,0.80137
LAMP1,0.59286
PPP2R1B,0.80124
PLEKHH1,0.75982
SPAG5,0.80115
PDIK1L,0.80099
COL16A1,0.80087
NUP160,0.76979
MAN2A1,0.43274
DNMT3A,0.80054
ARFIP1,0.80047
EPS8L2,0.80047
TAGLN3,0.80045
TCOF1,0.66243
MYLIP,0.2976
EML6,0.80032
KIF15,0.80029
PITX2,0.37299
APOC1,0.80015
OSBP2,0.80007
MARCH7,0.5144
ATP5C1,0.35433
GPS2,0.79993
PWP2,0.79986
FAM126A,0.33853
SSR1,0.55292
NCAM2,0.3138
DNAJB12,0.79972
HDGFRP3,0.66994
NUB1,0.79959
TACC2,0.28221
MARK3,0.64242
PUS7,0.3621
TMEM248,0.34884
TRIP11,0.47732
BTBD10,0.79883
NEDD4,0.55179
TAPT1,0.714
SLC6A17,0.79907
CREM,0.19191
LRRK1,0.56158
SESN2,0.79873
ARFGAP1,0.79863
CTSK,0.79843
LAMTOR1,0.79833
MMP24,0.79824
GDF6,0.14578
CDS2,0.79808
KRAS,0.79804
SLC35F6,0.79799
B4GALT2,0.79795
PEX1,0.79786
OSBPL2,0.79768
FARSB,0.67039
RPL28,0.61171
CCNYL1,0.75287
RECK,0.79749
SOCS5,0.40246
CD44,0.19273
C11orf84,0.79732
MYCBP,0.70706
FGFR1OP2,0.79722
NCAPD2,0.79696
PRDM10,0.78436
TEAD2,0.79675
FKBP4,0.79671
CACHD1,0.79665
PYGO2,0.79664
AARS2,0.79654
NAGLU,0.79638
GMPR2,0.79627
N4BP2L1,0.78401
HMGN3,0.51098
FBXO24,0.79601
MYOCD,0.16683
INTS5,0.79595
SETD3,0.62605
NUP133,0.74635
ZBTB5,0.52404
C16orf80,0.79579
NAT10,0.79574
TAF7,0.79564
SRPK1,0.79541
NSMAF,0.60061
TUFM,0.7953
TMEM178B,0.72848
STARD13,0.14785
PTGFRN,0.60449
MPDU1,0.79484
RASGRP4,0.79471
CLEC16A,0.46376
ARRDC1,0.79433
INPP4B,0.63948
TTC13,0.79423
SNRPC,0.79407
CAP1,0.79407
ERP29,0.19665
FAM179B,0.48129
DMPK,0.79382
FAM50B,0.79373
ZFPL1,0.79359
TBX21,0.79335
BCAR1,0.61427
NFS1,0.79321
EMC4,0.79313
ITGA5,0.66917
RPL23A,0.43864
MAPT,0.79308
UBXN4,0.79303
GNL2,0.72966
ZBTB11,0.79278
PIP5K1B,0.79271
FYTTD1,0.42729
TCF3,0.79267
PKP1,0.78959
IRX2,0.32268
RAD51,0.79236
FAM134B,0.29314
GALNT1,0.52377
FGD6,0.36674
CDK4,0.79217
HNRNPDL,0.35379
PAX2,0.79187
NOP56,0.71562
RNF11,0.70009
NAB1,0.51533
ZNF653,0.79142
NRBF2,0.29283
S100A10,0.79135
MYO1E,0.44847
SLC25A12,0.72986
SUN2,0.79118
WBSCR17,0.64122
GNPAT,0.76454
ST8SIA3,0.7908
LAMB1,0.50359
PPARA,0.79062
DDX24,0.50539
ESRP2,0.79044
PRR14,0.79039
FRMD6,0.42251
CCNL2,0.79033
JKAMP,0.79031
ALDH4A1,0.79026
ZNF318,0.47527
FBLN2,0.13909
COBLL1,0.2462
YPEL4,0.78998
IL17RE,0.78988
CUEDC2,0.78984
GABARAP,0.78982
DNAJA4,0.78971
FEZF2,0.46294
ALDH6A1,0.78912
VASN,0.78909
BMP4,0.61182
RPL19,0.75223
FAM49A,0.78885
PIGN,0.75568
