name	smiles	id	struct_id	meddra_name	meddra_code	level	llr_ratio
"chlorphenamine"	"CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1"	2785751	616	"Aortic aneurysm"	10002882	"PT"	2.21273198962283
"methyldopa"	"C[C@](N)(CC1=CC(O)=C(O)C=C1)C(O)=O"	3475416	1762	"Ventricular septal defect"	10047298	"PT"	2.2067548321464905
"etanercept"	(null)	2808569	4978	"Atrial septal defect"	10003664	"PT"	2.2049611255090706
"ondansetron"	"CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2"	2898484	1992	"Cleft palate"	10009269	"PT"	2.1983872534732343
"lopinavir"	"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1"	3042088	1601	"Gastroschisis"	10018046	"PT"	2.190643759056096
"tacrolimus"	"CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@@H]1C)OC"	3206953	2552	"Microtia"	10027555	"PT"	2.187793427230047
"ritonavir"	"CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1"	2944583	2391	"Diaphragmatic hernia"	10012713	"PT"	2.1858729453576187
"doxycycline"	"C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C(O)C=CC=C12"	2785723	961	"Aortic aneurysm"	10002882	"PT"	2.178100618778585
"valsartan"	"CCCCC(=O)N(CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)[C@@H](C(C)C)C(O)=O"	2785615	2806	"Aortic aneurysm"	10002882	"PT"	2.175375261257838
"prednisone"	"C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO"	2944598	2253	"Diaphragmatic hernia"	10012713	"PT"	2.1732651045874856
"retinol acetate"	"CC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C"	3289332	2372	"Patent ductus arteriosus"	10034130	"PT"	2.1722838814784646
"lopinavir"	"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1"	3181517	1601	"Low set ears"	10024929	"PT"	2.166287173118057
"manganese sulfate"	(null)	3289336	4461	"Patent ductus arteriosus"	10034130	"PT"	2.165719504769637
"amlodipine"	"CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=C(Cl)C=CC=C1)C(=O)OC"	2786066	183	"Aortic dissection"	10002895	"PT"	2.140551071527971
"lamivudine"	"NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1"	3181491	1539	"Low set ears"	10024929	"PT"	2.128069577080491
"levetiracetam"	"CC[C@H](N1CCCC1=O)C(N)=O"	3094573	1563	"Hydrocephalus"	10020508	"PT"	2.1181569343065694
"pyrazinamide"	"NC(=O)C1=NC=CN=C1"	3094850	2328	"Hydrocephalus"	10020508	"PT"	2.111280875986758
"acetylsalicylic acid"	"CC(=O)OC1=CC=CC=C1C(O)=O"	2785511	74	"Aortic aneurysm"	10002882	"PT"	2.0966347638159926
"levothyroxine"	"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O"	2785530	2646	"Aortic aneurysm"	10002882	"PT"	2.091924735397883
"dihydralazine"	"N\N=C1/NN\C(=N/N)C2=C1C=CC=C2"	3289481	884	"Patent ductus arteriosus"	10034130	"PT"	2.0861003433381327
"escitalopram"	"CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1"	3459415	1053	"Trisomy 21"	10044688	"PT"	2.0832121035787026
"rifampicin"	"CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C)C(O)=C4C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(C=NN1CCN(C)CC1)=C(O)C4=C3C2=O"	3610051	2377	"Aortic valve prolapse"	10057454	"PT"	2.076588515120625
"zoledronic acid"	"OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O"	3412422	2868	"Spinal cord compression"	10041549	"PT"	2.070898093560983
"promethazine"	"CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C"	2941421	2286	"Dextrocardia"	10012592	"PT"	2.065959952885748
"riboflavin"	"CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=NC(=O)NC(=O)C1=N2"	3289335	2834	"Patent ductus arteriosus"	10034130	"PT"	2.0644184168012925
"ondansetron"	"CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2"	3755610	1992	"Right aortic arch"	10067407	"PT"	2.0592635771883807
"lacosamide"	"COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1"	2900762	4310	"Coarctation of the aorta"	10009807	"PT"	2.047482419127989
"ritonavir"	"CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1"	3042070	2391	"Gastroschisis"	10018046	"PT"	2.0456685917370057
"ondansetron"	"CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2"	2989342	1992	"Endocardial fibroelastosis"	10014663	"PT"	2.0399300495482366
"zinc oxide"	"O=[Zn]"	3289334	4240	"Patent ductus arteriosus"	10034130	"PT"	2.032657998185667
"ipratropium"	"CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1"	2785797	1475	"Aortic aneurysm"	10002882	"PT"	2.03223750113833
"lamivudine"	"NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1"	2879165	1539	"Cerebellar hypoplasia"	10008033	"PT"	2.0312926330150067
"levothyroxine"	"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O"	2778180	2646	"Anencephaly"	10002320	"PT"	2.017640141121129
"zinc oxide"	"O=[Zn]"	2898377	4240	"Cleft lip"	10009259	"PT"	2.006551758895273
"promethazine"	"CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C"	2808662	2286	"Atrial septal defect"	10003664	"PT"	2.00090604330887
