Disease	Disease_URI	Relationship	Relationship_URI	Gene	Gene_URI
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	NPHP3	http://identifiers.org/hgnc.symbol/NPHP3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	NR2F2	http://identifiers.org/hgnc.symbol/NR2F2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	NSD1	http://identifiers.org/hgnc.symbol/NSD1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PACS1	http://identifiers.org/hgnc.symbol/PACS1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PALB2	http://identifiers.org/hgnc.symbol/PALB2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PCGF2	http://identifiers.org/hgnc.symbol/PCGF2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PCNT	http://identifiers.org/hgnc.symbol/PCNT
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PEX1	http://identifiers.org/hgnc.symbol/PEX1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PEX19	http://identifiers.org/hgnc.symbol/PEX19
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PHGDH	http://identifiers.org/hgnc.symbol/PHGDH
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PIGN	http://identifiers.org/hgnc.symbol/PIGN
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PIGT	http://identifiers.org/hgnc.symbol/PIGT
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PLCB3	http://identifiers.org/hgnc.symbol/PLCB3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	POLR1A	http://identifiers.org/hgnc.symbol/POLR1A
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	POLR1B	http://identifiers.org/hgnc.symbol/POLR1B
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	POLR1C	http://identifiers.org/hgnc.symbol/POLR1C
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	POLR1D	http://identifiers.org/hgnc.symbol/POLR1D
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PORCN	http://identifiers.org/hgnc.symbol/PORCN
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PPP1CB	http://identifiers.org/hgnc.symbol/PPP1CB
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PRDM16	http://identifiers.org/hgnc.symbol/PRDM16
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PRDM6	http://identifiers.org/hgnc.symbol/PRDM6
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PRKG1	http://identifiers.org/hgnc.symbol/PRKG1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PSMD12	http://identifiers.org/hgnc.symbol/PSMD12
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PTEN	http://identifiers.org/hgnc.symbol/PTEN
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PTPN11	http://identifiers.org/hgnc.symbol/PTPN11
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	PUF60	http://identifiers.org/hgnc.symbol/PUF60
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RAB23	http://identifiers.org/hgnc.symbol/RAB23
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RAC1	http://identifiers.org/hgnc.symbol/RAC1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RAD51	http://identifiers.org/hgnc.symbol/RAD51
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RAD51C	http://identifiers.org/hgnc.symbol/RAD51C
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RBP4	http://identifiers.org/hgnc.symbol/RBP4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RERE	http://identifiers.org/hgnc.symbol/RERE
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RFWD3	http://identifiers.org/hgnc.symbol/RFWD3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RIT1	http://identifiers.org/hgnc.symbol/RIT1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RPL11	http://identifiers.org/hgnc.symbol/RPL11
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RPL5	http://identifiers.org/hgnc.symbol/RPL5
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RPS26	http://identifiers.org/hgnc.symbol/RPS26
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	RSPRY1	http://identifiers.org/hgnc.symbol/RSPRY1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SALL1	http://identifiers.org/hgnc.symbol/SALL1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SALL4	http://identifiers.org/hgnc.symbol/SALL4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SAMD9	http://identifiers.org/hgnc.symbol/SAMD9
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SEMA3E	http://identifiers.org/hgnc.symbol/SEMA3E
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SETD2	http://identifiers.org/hgnc.symbol/SETD2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SF3B4	http://identifiers.org/hgnc.symbol/SF3B4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SHANK3	http://identifiers.org/hgnc.symbol/SHANK3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SIK3	http://identifiers.org/hgnc.symbol/SIK3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SIX6	http://identifiers.org/hgnc.symbol/SIX6
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SKI	http://identifiers.org/hgnc.symbol/SKI
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SKIV2L	http://identifiers.org/hgnc.symbol/SKIV2L
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SLC25A24	http://identifiers.org/hgnc.symbol/SLC25A24
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SLC29A3	http://identifiers.org/hgnc.symbol/SLC29A3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SLX4	http://identifiers.org/hgnc.symbol/SLX4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMAD3	http://identifiers.org/hgnc.symbol/SMAD3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMAD4	http://identifiers.org/hgnc.symbol/SMAD4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCA2	http://identifiers.org/hgnc.symbol/SMARCA2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCA4	http://identifiers.org/hgnc.symbol/SMARCA4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCB1	http://identifiers.org/hgnc.symbol/SMARCB1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCC2	http://identifiers.org/hgnc.symbol/SMARCC2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCD1	http://identifiers.org/hgnc.symbol/SMARCD1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCE1	http://identifiers.org/hgnc.symbol/SMARCE1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMC3	http://identifiers.org/hgnc.symbol/SMC3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SNRPB	http://identifiers.org/hgnc.symbol/SNRPB
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SNRPN	http://identifiers.org/hgnc.symbol/SNRPN
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SNX14	http://identifiers.org/hgnc.symbol/SNX14
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SON	http://identifiers.org/hgnc.symbol/SON
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SOX11	http://identifiers.org/hgnc.symbol/SOX11
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SOX2	http://identifiers.org/hgnc.symbol/SOX2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SOX4	http://identifiers.org/hgnc.symbol/SOX4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SPECC1L	http://identifiers.org/hgnc.symbol/SPECC1L
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SPEN	http://identifiers.org/hgnc.symbol/SPEN
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SSR4	http://identifiers.org/hgnc.symbol/SSR4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	STAG2	http://identifiers.org/hgnc.symbol/STAG2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	STRA6	http://identifiers.org/hgnc.symbol/STRA6
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	STXBP1	http://identifiers.org/hgnc.symbol/STXBP1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	SUCLG1	http://identifiers.org/hgnc.symbol/SUCLG1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TALDO1	http://identifiers.org/hgnc.symbol/TALDO1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TBC1D24	http://identifiers.org/hgnc.symbol/TBC1D24
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TBX1	http://identifiers.org/hgnc.symbol/TBX1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TBX2	http://identifiers.org/hgnc.symbol/TBX2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TBX4	http://identifiers.org/hgnc.symbol/TBX4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TBX5	http://identifiers.org/hgnc.symbol/TBX5
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TCOF1	http://identifiers.org/hgnc.symbol/TCOF1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TFAP2B	http://identifiers.org/hgnc.symbol/TFAP2B
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TGFB2	http://identifiers.org/hgnc.symbol/TGFB2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TGFB3	http://identifiers.org/hgnc.symbol/TGFB3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TGFBR1	http://identifiers.org/hgnc.symbol/TGFBR1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TGFBR2	http://identifiers.org/hgnc.symbol/TGFBR2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	THOC6	http://identifiers.org/hgnc.symbol/THOC6
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TKT	http://identifiers.org/hgnc.symbol/TKT
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TMCO1	http://identifiers.org/hgnc.symbol/TMCO1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TMEM94	http://identifiers.org/hgnc.symbol/TMEM94
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TMTC3	http://identifiers.org/hgnc.symbol/TMTC3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TP63	http://identifiers.org/hgnc.symbol/TP63
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TRAF7	http://identifiers.org/hgnc.symbol/TRAF7
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TRIP11	http://identifiers.org/hgnc.symbol/TRIP11
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TRIP4	http://identifiers.org/hgnc.symbol/TRIP4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TRRAP	http://identifiers.org/hgnc.symbol/TRRAP
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TSFM	http://identifiers.org/hgnc.symbol/TSFM
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	TTC37	http://identifiers.org/hgnc.symbol/TTC37
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	UBE2A	http://identifiers.org/hgnc.symbol/UBE2A
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	UBE2T	http://identifiers.org/hgnc.symbol/UBE2T
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	UBR7	http://identifiers.org/hgnc.symbol/UBR7
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	UMPS	http://identifiers.org/hgnc.symbol/UMPS
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	USP18	http://identifiers.org/hgnc.symbol/USP18
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	USP9X	http://identifiers.org/hgnc.symbol/USP9X
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	VPS33A	http://identifiers.org/hgnc.symbol/VPS33A
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	WAC	http://identifiers.org/hgnc.symbol/WAC
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	WDPCP	http://identifiers.org/hgnc.symbol/WDPCP
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	WDR35	http://identifiers.org/hgnc.symbol/WDR35
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	WDR37	http://identifiers.org/hgnc.symbol/WDR37
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	WT1	http://identifiers.org/hgnc.symbol/WT1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	XRCC2	http://identifiers.org/hgnc.symbol/XRCC2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	YY1AP1	http://identifiers.org/hgnc.symbol/YY1AP1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ZEB2	http://identifiers.org/hgnc.symbol/ZEB2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ZIC3	http://identifiers.org/hgnc.symbol/ZIC3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ZMIZ1	http://identifiers.org/hgnc.symbol/ZMIZ1
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ZMPSTE24	http://identifiers.org/hgnc.symbol/ZMPSTE24
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ZNF148	http://identifiers.org/hgnc.symbol/ZNF148
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	BCR	http://identifiers.org/hgnc.symbol/BCR
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	COMT	http://identifiers.org/hgnc.symbol/COMT
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	DLL4	http://identifiers.org/hgnc.symbol/DLL4
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	GATA6	http://identifiers.org/hgnc.symbol/GATA6
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	GJA5	http://identifiers.org/hgnc.symbol/GJA5
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	GJA8	http://identifiers.org/hgnc.symbol/GJA8
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	GP1BB	http://identifiers.org/hgnc.symbol/GP1BB
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	MAPK1	http://identifiers.org/hgnc.symbol/MAPK1
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	NEK8	http://identifiers.org/hgnc.symbol/NEK8
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	NKX2-5	http://identifiers.org/hgnc.symbol/NKX2-5
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	NKX2-6	http://identifiers.org/hgnc.symbol/NKX2-6
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	PSMD12	http://identifiers.org/hgnc.symbol/PSMD12
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	PUF60	http://identifiers.org/hgnc.symbol/PUF60
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	STRA6	http://identifiers.org/hgnc.symbol/STRA6
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	TBX1	http://identifiers.org/hgnc.symbol/TBX1
Truncus arteriosus	http://purl.obolibrary.org/obo/HP_0001660	gene-disease association	https://semanticscience.org/resource/SIO_000983	TMEM260	http://identifiers.org/hgnc.symbol/TMEM260
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	BMP2	http://identifiers.org/hgnc.symbol/BMP2
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CCDC103	http://identifiers.org/hgnc.symbol/CCDC103
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CCDC39	http://identifiers.org/hgnc.symbol/CCDC39
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CCDC40	http://identifiers.org/hgnc.symbol/CCDC40
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CCDC65	http://identifiers.org/hgnc.symbol/CCDC65
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CCNO	http://identifiers.org/hgnc.symbol/CCNO
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CFAP298	http://identifiers.org/hgnc.symbol/CFAP298
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CFAP300	http://identifiers.org/hgnc.symbol/CFAP300
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CFAP53	http://identifiers.org/hgnc.symbol/CFAP53
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	CFC1	http://identifiers.org/hgnc.symbol/CFC1
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAAF1	http://identifiers.org/hgnc.symbol/DNAAF1
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAAF11	http://identifiers.org/hgnc.symbol/DNAAF11
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAAF2	http://identifiers.org/hgnc.symbol/DNAAF2
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAAF3	http://identifiers.org/hgnc.symbol/DNAAF3
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAAF4	http://identifiers.org/hgnc.symbol/DNAAF4
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAAF5	http://identifiers.org/hgnc.symbol/DNAAF5
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAAF6	http://identifiers.org/hgnc.symbol/DNAAF6
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAH1	http://identifiers.org/hgnc.symbol/DNAH1
Transposition of the great arteries	http://purl.obolibrary.org/obo/HP_0001669	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAH11	http://identifiers.org/hgnc.symbol/DNAH11
