NAME,SMILES,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_TYPE,TDL
dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,8.88,EC50,Tclin
dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Progesterone receptor,Nuclear hormone receptor,P06401,PGR,PRGR_HUMAN,6.25,Ki,Tclin
dexamethasone palmitate,CCCCCCCCCCCCCCCC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,8.26,Ki,Tclin
dexamethasone palmitate,CCCCCCCCCCCCCCCC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,Progesterone receptor,Nuclear hormone receptor,P06401,PGR,PRGR_HUMAN,6.25,Ki,Tclin
dexamethasone phosphate,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(O)(O)=O,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,9.3,IC50,Tclin
dexamethasone phosphate,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(O)(O)=O,Progesterone receptor,Nuclear hormone receptor,P06401,PGR,PRGR_HUMAN,6.25,Ki,Tclin
dexamethasone valerate,CCCCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,8.26,Ki,Tclin
dexamethasone valerate,CCCCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO,Progesterone receptor,Nuclear hormone receptor,P06401,PGR,PRGR_HUMAN,6.25,Ki,Tclin
dexamfetamine,C[C@H](N)CC1=CC=CC=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.68,Ki,Tclin
dexchlorpheniramine,CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,6.262012674,Ki,Tclin
dexchlorpheniramine,CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.156767222,Ki,Tclin
dexchlorpheniramine,CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.131355562,Ki,Tclin
dexfenfluramine,CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.663540266,Ki,Tclin
dexmethylphenidate,COC(=O)[C@@H]([C@H]1CCCCN1)C1=CC=CC=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,7.8,Ki,Tclin
dextromethorphan,COC1=CC2=C(C[C@H]3[C@H]4CCCC[C@@]24CCN3C)C=C1,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.4584,D2,Tclin
diazepam,CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1,Gamma-aminobutyric acid receptor subunit alpha-5,Ion channel,P31644,GABRA5,GBRA5_HUMAN,7.639999866,Kd,Tclin
dibrompropamidine,NC(=N)C1=CC(Br)=C(OCCCOC2=C(Br)C=C(C=C2)C(N)=N)C=C1,Prothrombin,Enzyme,P00734,F2,THRB_HUMAN,6.02,Ki,Tclin
dichlorphenamide,NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O,Carbonic anhydrase 2,Enzyme,P00918,CA2,CAH2_HUMAN,7.4202,Ki,Tclin
dichlorphenamide,NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O,Carbonic anhydrase 4,Enzyme,P22748,CA4,CAH4_HUMAN,7.02,Ki,Tclin
diclofenac,OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,Peroxisome proliferator-activated receptor gamma,Nuclear hormone receptor,P37231,PPARG,PPARG_HUMAN,6.2,Ki,Tclin
dicoumarol,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=CC=CC=C12,G-protein coupled receptor 35,GPCR,Q9HC97,GPR35,GPR35_HUMAN,7.41,Ki,Tchem
dicycloverine,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,9.032920266,Ki,Tclin
dicycloverine,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,8.68613278,Ki,Tclin
diethylstilbestrol,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,9.66,Ki,Tclin
diethylstilbestrol,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Estrogen receptor beta,Nuclear hormone receptor,Q92731,ESR2,ESR2_HUMAN,9.2,Ki,Tclin
diethylstilbestrol,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.07007044,Ki,Tclin
diflorasone diacetate,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(C)=O)C(=O)COC(C)=O,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,8.536107011,Ki,Tclin
diflunisal,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,Transthyretin,Secreted,P02766,TTR,TTHY_HUMAN,7.125,Kd1,Tclin
digitoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Signal transducer and activator of transcription 3,Transcription factor,P40763,STAT3,STAT3_HUMAN,6.150000095,IC50,Tchem
diiodohydroxyquinoline,OC1=C2N=CC=CC2=C(I)C=C1I,Mitogen-activated protein kinase 1,Kinase,P28482,MAPK1,MK01_HUMAN,6.53165267,IC50,Tchem
diltiazem,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,7.3188,IC50,Tclin
diltiazem,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,Voltage-dependent L-type calcium channel subunit alpha-1S,Ion channel,Q13698,CACNA1S,CAC1S_HUMAN,6.42,Ki,Tclin
dimenhydrinate,(null),Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,7.022276395,Ki,Tclin
dimenhydrinate,(null),Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.312471039,Ki,Tclin
dimetindene,CC(C1=C(CCN(C)C)CC2=C1C=CC=C2)C1=CC=CC=N1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,6.72,Ki,Tclin
dinoprostone,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,Cation channel sperm-associated protein 1,Ion channel,Q8NEC5,CATSPER1,CTSR1_HUMAN,6.3,EC50,Tchem
dinoprostone,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,Cation channel sperm-associated protein 2,Ion channel,Q96P56,CATSPER2,CTSR2_HUMAN,6.3,EC50,Tchem
diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,6.6402,Ki,Tclin
diphenidol,OC(CCCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,7.283996656,Ki,Tclin
diphenidol,OC(CCCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.966576245,Ki,Tclin
diphenylpyraline,CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.3767,IC50,Tclin
dipyridamole,OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N=C(N3CCCCC3)C2=N1)N(CCO)CCO,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",Enzyme,Q9HCR9,PDE11A,PDE11_HUMAN,6.4,Ki,Tchem
dobutamine,CC(CCC1=CC=C(O)C=C1)NCCC1=CC=C(O)C(O)=C1,Carbonic anhydrase 2,Enzyme,P00918,CA2,CAH2_HUMAN,6.32,Ki,Tclin
dobutamine,CC(CCC1=CC=C(O)C=C1)NCCC1=CC=C(O)C(O)=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.910094889,Ki,Tclin
dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,Potassium voltage-gated channel subfamily H member 1,Ion channel,O95259,KCNH1,KCNH1_HUMAN,7.5,IC50,Tclin
donepezil,COC1=CC2=C(C=C1OC)C(=O)C(CC1CCN(CC3=CC=CC=C3)CC1)C2,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,7.84,Ki,Tclin
dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,Carbonic anhydrase 2,Enzyme,P00918,CA2,CAH2_HUMAN,9.7,Ki,Tclin
dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,Carbonic anhydrase 4,Enzyme,P22748,CA4,CAH4_HUMAN,7.37,Ki,Tclin
dosulepin,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,7.4202,Ki,Tclin
doxazosin,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=C(O1)C=CC=C2,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.826813732,Ki,Tclin
doxepin,CN(C)CCC=C1C2=CC=CC=C2COC2=C1C=CC=C2,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,7.284,Ki,Tclin
doxepin,CN(C)CCC=C1C2=CC=CC=C2COC2=C1C=CC=C2,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.576754126,Ki,Tclin
doxorubicin,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO)C(=O)C2=CC=C1,Aurora kinase A,Kinase,O14965,AURKA,AURKA_HUMAN,7.4,IC50,Tchem
drospirenone,C[C@]12CC[C@H]3[C@@H]([C@H]4C[C@H]4C4=CC(=O)CC[C@]34C)[C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1,Androgen receptor,Nuclear hormone receptor,P10275,AR,ANDR_HUMAN,8.5,IC50,Tclin
drospirenone,C[C@]12CC[C@H]3[C@@H]([C@H]4C[C@H]4C4=CC(=O)CC[C@]34C)[C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1,Progesterone receptor,Nuclear hormone receptor,P06401,PGR,PRGR_HUMAN,10.5,EC50,Tclin
duloxetine,CNCC[C@H](OC1=CC=CC2=C1C=CC=C2)C1=CC=CS1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.62,Ki,Tclin
dutasteride,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)NC1=C(C=CC(=C1)C(F)(F)F)C(F)(F)F,3-oxo-5-alpha-steroid 4-dehydrogenase 2,Enzyme,P31213,SRD5A2,S5A2_HUMAN,9.2,IC50,Tclin
dutasteride,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)NC1=C(C=CC(=C1)C(F)(F)F)C(F)(F)F,Glycine receptor subunit alpha-1,Ion channel,P23415,GLRA1,GLRA1_HUMAN,6.480000019,EC50,Tclin
duvelisib,C[C@H](NC1=NC=NC2=C1N=CN2)C1=CC2=C(C(Cl)=CC=C2)C(=O)N1C1=CC=CC=C1,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Kinase,O00329,PIK3CD,PK3CD_HUMAN,10.63827216,Kd,Tclin
dydrogesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,Progesterone receptor,Nuclear hormone receptor,P06401,PGR,PRGR_HUMAN,6.9,Ki,Tclin
ebastine,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,6.862645889,Ki,Tclin
ebastine,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,7.105683937,Ki,Tclin
econazole,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Cytochrome P450 3A4,Enzyme,P08684,CYP3A4,CP3A4_HUMAN,7.301029996,IC50,Tclin
econazole,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,6.42136079,Ki,Tclin
econazole,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.178486472,Ki,Tclin
econazole,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,"Steroid 17-alpha-hydroxylase/17,20 lyase",Enzyme,P05093,CYP17A1,CP17A_HUMAN,6.49,Ki,Tclin
econazole,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Thromboxane-A synthase,Enzyme,P24557,TBXAS1,THAS_HUMAN,7.537602002,IC50,Tchem
edoxaban,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=CC=C(Cl)C=N2)[C@@H](C1)NC(=O)C1=NC2=C(CN(C)CC2)S1,Coagulation factor X,Enzyme,P00742,F10,FA10_HUMAN,9.251811981,Ki,Tclin
elagolix,COC1=CC=CC(=C1F)C1=C(C)N(CC2=C(F)C=CC=C2C(F)(F)F)C(=O)N(C[C@H](NCCCC(O)=O)C2=CC=CC=C2)C1=O,Gonadotropin-releasing hormone receptor,GPCR,P30968,GNRHR,GNRHR_HUMAN,8.823908741,IC50,Tclin
eledoisin,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC(=O)N1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(N)=O,Neuromedin-K receptor,GPCR,P29371,TACR3,NK3R_HUMAN,9.66,EC50,Tchem
elliptinium,CC1=C2C=C[N+](C)=CC2=C(C)C2=C1NC1=CC=C(O)C=C21,Fibroblast growth factor receptor 3,Kinase,P22607,FGFR3,FGFR3_HUMAN,6.3,IC50,Tclin
elliptinium,CC1=C2C=C[N+](C)=CC2=C(C)C2=C1NC1=CC=C(O)C=C21,Mast/stem cell growth factor receptor Kit,Kinase,P10721,KIT,KIT_HUMAN,6.4,IC50,Tclin
enalaprilat,C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,Angiotensin-converting enzyme,Enzyme,P12821,ACE,ACE_HUMAN,7.5,IC50,Tclin
enasidenib,CC(C)(O)CNC1=NC(=NC(NC2=CC(=NC=C2)C(F)(F)F)=N1)C1=CC=CC(=N1)C(F)(F)F,"Isocitrate dehydrogenase [NADP], mitochondrial",Enzyme,P48735,IDH2,IDHP_HUMAN,7,IC50,Tclin
encorafenib,COC(=O)N[C@@H](C)CNC1=NC(=CC=N1)C1=CN(N=C1C1=C(F)C(NS(C)(=O)=O)=CC(Cl)=C1)C(C)C,RAF proto-oncogene serine/threonine-protein kinase,Kinase,P04049,RAF1,RAF1_HUMAN,9.522879,IC50,Tclin
encorafenib,COC(=O)N[C@@H](C)CNC1=NC(=CC=N1)C1=CN(N=C1C1=C(F)C(NS(C)(=O)=O)=CC(Cl)=C1)C(C)C,Serine/threonine-protein kinase B-raf,Kinase,P15056,BRAF,BRAF_HUMAN,9.327902,IC50,Tclin
enfortumab vedotin,(null),Nectin-4,Tumour-associated antigen,Q96NY8,NECTIN4,NECT4_HUMAN,10.24,Ki,Tclin
entacapone,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,Catechol O-methyltransferase,Enzyme,P21964,COMT,COMT_HUMAN,9.522878647,Ki,Tclin
entrectinib,CN1CCN(CC1)C1=CC(NC2CCOCC2)=C(C=C1)C(=O)NC1=NNC2=CC=C(CC3=CC(F)=CC(F)=C3)C=C12,BDNF/NT-3 growth factors receptor,Kinase,Q16620,NTRK2,NTRK2_HUMAN,8.52,IC50,Tclin
entrectinib,CN1CCN(CC1)C1=CC(NC2CCOCC2)=C(C=C1)C(=O)NC1=NNC2=CC=C(CC3=CC(F)=CC(F)=C3)C=C12,High affinity nerve growth factor receptor,Kinase,P04629,NTRK1,NTRK1_HUMAN,9,IC50,Tclin
enzalutamide,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC(=C(C=C1)C#N)C(F)(F)F,Androgen receptor,Nuclear hormone receptor,P10275,AR,ANDR_HUMAN,7.31,EC50,Tclin
eperisone,CCC1=CC=C(C=C1)C(=O)C(C)CN1CCCCC1,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,8.769551079,Ki,Tclin
eprosartan,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,Type-1 angiotensin II receptor,GPCR,P30556,AGTR1,AGTR1_HUMAN,8.7,IC50,Tclin
erdafitinib,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC2=NC(=CN=C2C=C1)C1=CN(C)N=C1,Fibroblast growth factor receptor 1,Kinase,P11362,FGFR1,FGFR1_HUMAN,8.9208,IC50,Tclin
erdafitinib,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC2=NC(=CN=C2C=C1)C1=CN(C)N=C1,Fibroblast growth factor receptor 2,Kinase,P21802,FGFR2,FGFR2_HUMAN,8.6021,IC50,Tclin
erdafitinib,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC2=NC(=CN=C2C=C1)C1=CN(C)N=C1,Fibroblast growth factor receptor 3,Kinase,P22607,FGFR3,FGFR3_HUMAN,8.5229,IC50,Tclin
erdafitinib,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC2=NC(=CN=C2C=C1)C1=CN(C)N=C1,Vascular endothelial growth factor receptor 2,Kinase,P35968,KDR,VGFR2_HUMAN,7.4342,IC50,Tclin
erlotinib,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC=CC(=C1)C#C)=NC=N2,Aurora kinase C,Kinase,Q9UQB9,AURKC,AURKC_HUMAN,6.22,Kd,Tchem
erlotinib,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC=CC(=C1)C#C)=NC=N2,Citron Rho-interacting kinase,Kinase,O14578,CIT,CTRO_HUMAN,6.17,Kd,Tbio
erlotinib,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC=CC(=C1)C#C)=NC=N2,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,6.15,Kd,Tclin
erlotinib,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC=CC(=C1)C#C)=NC=N2,Proto-oncogene tyrosine-protein kinase receptor Ret,Kinase,P07949,RET,RET_HUMAN,6.48,Kd,Tclin
erlotinib,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC=CC(=C1)C#C)=NC=N2,Tyrosine-protein kinase ABL1,Kinase,P00519,ABL1,ABL1_HUMAN,7.24,Kd,Tclin
erlotinib,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC=CC(=C1)C#C)=NC=N2,Tyrosine-protein kinase JAK3,Kinase,P52333,JAK3,JAK3_HUMAN,6.15,Kd,Tclin
erlotinib,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC=CC(=C1)C#C)=NC=N2,Tyrosine-protein kinase Mer,Kinase,Q12866,MERTK,MERTK_HUMAN,6.01,Kd,Tchem
erlotinib,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC=CC(=C1)C#C)=NC=N2,Tyrosine-protein kinase receptor Tie-1,Kinase,P35590,TIE1,TIE1_HUMAN,6.07,Kd,Tchem
estradiol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O,Androgen receptor,Nuclear hormone receptor,P10275,AR,ANDR_HUMAN,7.72,IC50,Tclin
estradiol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,10.3,EC50,Tclin
estradiol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O,Estrogen receptor beta,Nuclear hormone receptor,Q92731,ESR2,ESR2_HUMAN,9.7,EC50,Tclin
estradiol benzoate,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OC(=O)C3=CC=CC=C3)=C4)[C@@H]1CC[C@@H]2O,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,7.744727495,Ki,Tclin
estriol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,8.67,Ki,Tclin
estriol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O,Estrogen receptor beta,Nuclear hormone receptor,Q92731,ESR2,ESR2_HUMAN,8.4,Ki,Tclin
estriol succinate,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1C[C@@H](OC(=O)CCC(O)=O)[C@@H]2OC(=O)CCC(O)=O,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,9.319999695,Ki,Tclin
estriol succinate,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1C[C@@H](OC(=O)CCC(O)=O)[C@@H]2OC(=O)CCC(O)=O,Estrogen receptor beta,Nuclear hormone receptor,Q92731,ESR2,ESR2_HUMAN,9.899999619,EC50,Tclin
estrone,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CCC2=O,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,9.15,EC50,Tclin
estrone,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CCC2=O,Estrogen receptor beta,Nuclear hormone receptor,Q92731,ESR2,ESR2_HUMAN,8.68,EC50,Tclin
eszopiclone,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=CC=C(Cl)C=N1,Gamma-aminobutyric acid receptor subunit alpha-1,Ion channel,P14867,GABRA1,GBRA1_HUMAN,7.300000191,Ki,Tclin
eszopiclone,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=CC=C(Cl)C=N1,Gamma-aminobutyric acid receptor subunit alpha-2,Ion channel,P47869,GABRA2,GBRA2_HUMAN,6.94,Ki,Tclin
eszopiclone,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=CC=C(Cl)C=N1,Gamma-aminobutyric acid receptor subunit alpha-3,Ion channel,P34903,GABRA3,GBRA3_HUMAN,6.789999962,Ki,Tclin
ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,Cytochrome P450 3A4,Enzyme,P08684,CYP3A4,CP3A4_HUMAN,6.25,IC50,Tclin
ethinylestradiol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Androgen receptor,Nuclear hormone receptor,P10275,AR,ANDR_HUMAN,7.3,IC50,Tclin
ethinylestradiol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,9.83,Kd,Tclin
ethinylestradiol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Estrogen receptor beta,Nuclear hormone receptor,Q92731,ESR2,ESR2_HUMAN,8.09,IC50,Tclin
