Gene Symbol,pHI
STK36,0.52226
ING5,0.43594
DENND6B,0.46215
FAM149B1,0.45542
PREP,0.80345
UST,0.80344
HPX,0.22546
CHRM1,0.49113
HIC2,0.80314
ZBTB48,0.42353
ARL14EP,0.803
ARHGEF10L,0.7143
SNTB2,0.61115
RANGAP1,0.56975
GALNT16,0.5099
RNF170,0.7822
TMEM132A,0.36281
STMN4,0.37239
YPEL5,0.80273
PLEKHA4,0.31203
BRMS1,0.25217
ST6GAL1,0.80249
LIFR,0.80249
NLE1,0.21087
CDIP1,0.76884
VASP,0.65965
AKIRIN1,0.80237
GRN,0.30502
CDC42BPG,0.26425
NECAB3,0.26977
NCK1,0.72105
NUMB,0.7409
DDX18,0.80187
BEND6,0.41228
TAF4B,0.80177
PCOLCE,0.14915
CTD-2545M3.6,0.29617
CCNG1,0.8015
KCTD6,0.28504
CLCN2,0.44377
LAMP1,0.80133
PPP2R1B,0.64208
PLEKHH1,0.80121
SPAG5,0.3633
PDIK1L,0.48865
COL16A1,0.66201
NUP160,0.80074
MAN2A1,0.80055
DNMT3A,0.52745
ARFIP1,0.57868
EPS8L2,0.41535
TAGLN3,0.27383
TCOF1,0.80042
MYLIP,0.80041
EML6,0.51425
KIF15,0.32967
PITX2,0.80027
APOC1,0.19009
OSBP2,0.44222
MARCH7,0.80004
ATP5C1,0.80002
GPS2,0.43457
PWP2,0.48407
FAM126A,0.79978
SSR1,0.79976
NCAM2,0.79974
DNAJB12,0.67987
HDGFRP3,0.79967
NUB1,0.52708
TACC2,0.79955
MARK3,0.79954
PUS7,0.79944
TMEM248,0.79944
TRIP11,0.79941
BTBD10,0.79935
NEDD4,0.79923
TAPT1,0.79916
SLC6A17,0.46464
CREM,0.79887
LRRK1,0.7988
SESN2,0.31145
ARFGAP1,0.33337
CTSK,0.2367
LAMTOR1,0.58396
MMP24,0.62411
GDF6,0.79816
CDS2,0.4158
KRAS,0.59422
SLC35F6,0.35605
B4GALT2,0.33376
PEX1,0.69651
OSBPL2,0.62118
FARSB,0.79764
RPL28,0.79757
CCNYL1,0.79757
RECK,0.57148
SOCS5,0.79746
CD44,0.79732
C11orf84,0.581
MYCBP,0.79731
FGFR1OP2,0.42079
NCAPD2,0.51266
PRDM10,0.7969
TEAD2,0.35927
FKBP4,0.54036
CACHD1,0.78909
PYGO2,0.72495
AARS2,0.24735
NAGLU,0.27776
GMPR2,0.11605
N4BP2L1,0.79622
HMGN3,0.79605
FBXO24,0.09737
MYOCD,0.796
INTS5,0.54229
SETD3,0.79592
NUP133,0.79587
ZBTB5,0.79584
C16orf80,0.44046
NAT10,0.5135
TAF7,0.61312
SRPK1,0.45567
NSMAF,0.79531
TUFM,0.27784
TMEM178B,0.7952
STARD13,0.79508
PTGFRN,0.79495
MPDU1,0.1951
RASGRP4,0.1956
CLEC16A,0.7946
ARRDC1,0.32447
INPP4B,0.7943
TTC13,0.74216
SNRPC,0.46453
CAP1,0.55274
ERP29,0.79404
FAM179B,0.79386
DMPK,0.36999
FAM50B,0.16893
ZFPL1,0.1672
TBX21,0.60613
BCAR1,0.79329
NFS1,0.37833
EMC4,0.75798
ITGA5,0.79311
RPL23A,0.79309
MAPT,0.53852
UBXN4,0.63817
GNL2,0.79287
ZBTB11,0.52108
PIP5K1B,0.28059
FYTTD1,0.79271
TCF3,0.50416
PKP1,0.79254
IRX2,0.79253
RAD51,0.29357
FAM134B,0.79232
GALNT1,0.79229
FGD6,0.7922
CDK4,0.42346
HNRNPDL,0.79208
PAX2,0.40599
NOP56,0.79172
RNF11,0.79172
NAB1,0.79168
ZNF653,0.34458
NRBF2,0.79141
S100A10,0.35513
MYO1E,0.79127
SLC25A12,0.79127
SUN2,0.35467
WBSCR17,0.79105
GNPAT,0.79099
ST8SIA3,0.78202
LAMB1,0.79064
PPARA,0.67307
DDX24,0.79058
ESRP2,0.43973
PRR14,0.32614
FRMD6,0.79034
CCNL2,0.35492
JKAMP,0.63349
ALDH4A1,0.54224
ZNF318,0.79022
FBLN2,0.79015
COBLL1,0.79012
YPEL4,0.17554
IL17RE,0.45123
CUEDC2,0.49347
GABARAP,0.38617
DNAJA4,0.47627
FEZF2,0.7894
ALDH6A1,0.33011
VASN,0.45149
BMP4,0.78903
RPL19,0.78891
FAM49A,0.75758
PIGN,0.78874
HNF1A,0.77267
TUBB6,0.7885
MYBPC2,0.1157
WNK2,0.78841
SEC31A,0.78834
PIK3R5,0.52579
GJC1,0.78822
MAP2K5,0.78639
ETV3,0.78011
GRAMD1A,0.3185
ZNF606,0.44399
TMX2,0.78476
CENPT,0.30273
CCDC80,0.78752
PNMAL2,0.16373
RNF208,0.54616
PPM1N,0.14019
LCOR,0.78736
CHIC2,0.78718
EXOC6,0.49145
CFLAR,0.78705
RPLP1,0.78705
EXOSC4,0.15576
EDN1,0.78686
SEH1L,0.73111
UBFD1,0.78683
PRPF38B,0.78682
INTS9,0.78655
CRHR1,0.2504
PTPN13,0.71509
PIEZO1,0.43536
TRIM67,0.77507
HID1,0.47786
SNRPG,0.64672
PSMB6,0.31486
ARHGDIA,0.46501
TTC36,0.09602
SULF1,0.78561
SPSB3,0.19467
ZBTB8A,0.32448
WRN,0.78553
SPHKAP,0.78545
GPR162,0.29887
GOT2,0.57253
ZNF274,0.33731
SPATA13,0.66427
ZNF106,0.76852
CASP3,0.69076
PIP4K2C,0.2065
POMGNT1,0.37008
FSD1L,0.78437
TMF1,0.78428
EPS15,0.78418
BMP7,0.7841
RNF219,0.78406
TUFT1,0.3718
CD22,0.51998
ALG5,0.78386
NOS1AP,0.46802
B3GNT5,0.78367
CXADR,0.78363
PAK1IP1,0.78353
GFPT2,0.47017
TPM4,0.59931
APAF1,0.78327
DNER,0.78316
CHEK1,0.57852
DENND2C,0.59096
GPBP1,0.78305
GPCPD1,0.783
SCRT2,0.47281
ANKRA2,0.53265
LHX6,0.67209
DNAJC5,0.70012
TMEM170B,0.78229
CPSF3L,0.20032
PPARGC1B,0.78208
ZNF581,0.15379
MFN1,0.78206
COLGALT1,0.30318
FZD3,0.59764
SLC31A1,0.47058
TGFBR3,0.78181
CCNF,0.4351
GPR107,0.74637
USP16,0.78166
EIF3H,0.7816
TLE2,0.50528
SLC25A44,0.1935
TMED9,0.3715
ZNF483,0.78132
PTPN23,0.7813
SYT11,0.73932
BUD31,0.32425
PDDC1,0.40088
PDHB,0.51937
GAREML,0.49526
TDRD3,0.78102
RBP4,0.78096
TFCP2L1,0.78069
GGPS1,0.78063
RPS21,0.6189
ARHGEF18,0.3403
NDUFA4,0.7805
DUSP8,0.7583
QARS,0.20755
KIAA0247,0.77494
S100A9,0.27303
UNC119B,0.7801
VEZT,0.78006
TMTC1,0.77992
ATM,0.77978
S100A8,0.11354
TIMELESS,0.23412
BICD1,0.69577
GPER1,0.36813
BUB1B,0.57177
NADK2,0.77909
DAPP1,0.54301
HMGA2,0.77887
MRI1,0.30627
VPS26A,0.61023
LMLN,0.77848
TMEM245,0.77842
TRAK1,0.77815
TSTA3,0.217
EXOC3L2,0.39823
SLC9A3,0.77798
GHDC,0.22811
YIF1A,0.15926
TMEM185B,0.77779
RPLP2,0.77778
DES,0.67121
B4GALNT4,0.35532
USP43,0.77722
SLC25A1,0.21049
LYL1,0.21393
UBE2E3,0.7083
RALBP1,0.77683
GALNT4,0.77679
NPRL2,0.30491
MYO1F,0.39988
GAK,0.65881
MAFB,0.77651
STC2,0.77631
DEK,0.77629
GRIN2C,0.17363
GOLGA7B,0.16064
KLK10,0.1033
DYNC1I2,0.72089
ZNF580,0.10118
ANKRD34A,0.22858
GPR4,0.21452
SORBS1,0.77565
SLC17A9,0.30468
WWC2,0.77534
C9orf3,0.77527
BIRC2,0.77521
SNX3,0.77516
LRRC14,0.12594
SEC23IP,0.77506
APEH,0.16884
XRCC1,0.4696
UBALD1,0.52563
RNF34,0.77475
SYNE2,0.67343
BCAN,0.28033
JAKMIP3,0.7744
SUN1,0.77429
CAMK1G,0.31938
LUZP2,0.77406
MCM3,0.77396
USP20,0.51697
NR1D2,0.77355
ABHD2,0.77346
PCDHGC5,0.40648
GID4,0.63839
LPAR2,0.19676
ADCY3,0.74759
DDX4,0.77297
UCHL5,0.61652
ATG3,0.50113
LZTS2,0.29498
SKAP2,0.58472
PTPRN,0.41471
EIF2B3,0.77185
LRSAM1,0.36182
CEBPE,0.06198
HIP1R,0.66069
PWWP2B,0.77238
RNF139,0.77232
TP53INP2,0.77225
KSR1,0.55156
INHBB,0.77217
C5,0.77209
RNF4,0.77192
INTS7,0.72246
SLC9A3R2,0.26634
KCNA2,0.4913
REEP3,0.77179
KCNT2,0.76558
TNFRSF8,0.77171
ABCG1,0.70348
KATNAL2,0.35447
NARG2,0.77124
PHYHIPL,0.6708
WNT4,0.77118
LRCH4,0.1721
PAQR6,0.14314
AL118506.1,0.30627
VTN,0.24169
EVA1B,0.19378
MPC2,0.77082
JMJD6,0.77067
C5orf42,0.77062
RAB34,0.34009
TRMT6,0.47863
SLC13A4,0.77047
ITGA2B,0.13895
CHL1,0.77027
NR2C2AP,0.14163
RCHY1,0.31184
PPP1R15A,0.77001
SMC4,0.76995
PPP6R2,0.6957
GNB4,0.73092
SARDH,0.34282
DNAJB2,0.27627
C14orf2,0.76939
OSBPL3,0.76936
MED19,0.65633
HS6ST1,0.74989
LDLRAD4,0.76902
AIFM3,0.16559
NUP54,0.61877
TIMM17A,0.44022
HDAC10,0.21065
OTX2,0.76877
GOLGA3,0.76876
ADAM12,0.76873
SLC45A3,0.52842
TRPT1,0.14008
CSMD1,0.76851
BCL2,0.76841
DDX49,0.13884
NKAIN1,0.27026
SOX7,0.76795
MFSD11,0.46662
PQLC2,0.23073
ST3GAL4,0.39055
C10orf54,0.76775
BRIX1,0.76771
CABLES1,0.76762
MAT2B,0.76757
CD40,0.76737
ALOX12B,0.22215
UBE2F,0.76731
OS9,0.4481
TMX4,0.7673
FBXL2,0.71065
C9orf142,0.1355
POLR2D,0.379
SEP15,0.76689
POLR2I,0.1552
C17orf75,0.68467
SEC61G,0.76673
CCDC12,0.30754
SCYL1,0.15903
TECTA,0.76628
DIRAS2,0.36412
PRKRA,0.64617
LRRC59,0.42894
GABARAPL1,0.71577
NSMCE4A,0.7659
SEL1L3,0.76589
YBX2,0.58502
ATP8A2,0.57803
RPAP1,0.32641
SPNS1,0.299
PLD3,0.36847
HSPE1-MOB4,0.6038
ADAMTS9,0.76546
TRAPPC5,0.11863
C4BPA,0.33473
COPE,0.57913
SLC7A11,0.76499
SLC2A4RG,0.21481
ARRDC4,0.76491
DHX58,0.22088
SYNGR3,0.1349
PAPLN,0.21871
OSGIN2,0.76464
NET1,0.76454
TMEM106B,0.76452
MYH7,0.46565
SERP1,0.50006
DDX55,0.40484
SHISA6,0.76392
AKAP10,0.7638
SLC25A27,0.45226
CTLA4,0.76361
BTBD7,0.76347
PAICS,0.57675
SEC14L1,0.76339
SIAH2,0.73439
SPTSSA,0.76332
GTF2F1,0.24962
PRMT7,0.33674
LMCD1,0.7631
SLA,0.76306
BCL6B,0.4935
EGLN3,0.76287
CCDC47,0.58855
C8orf82,0.08177
PTMA,0.76283
PLEKHA6,0.7628
DHX33,0.39066
SERPINF2,0.36208
SMC1B,0.56922
PPM1B,0.76271
SRRM2,0.7626
CD4,0.39331
KLHL5,0.76245
LSM1,0.49124
PANK1,0.53018
TNK1,0.14742
MAFK,0.28411
TMEM253,0.06818
DLK1,0.76209
WLS,0.76201
SLC6A11,0.37886
C9orf41,0.65371
CPNE4,0.63287
AC104534.3,0.35778
EIF1B,0.76139
TMEM64,0.7612
CTD-2547L24.3,0.09014
CDKAL1,0.76107
ECT2,0.761
AGPAT4,0.7608
FAM134A,0.39153
GPC6,0.76061
PCSK5,0.76049
MARS2,0.12788
MTMR14,0.4401
ERGIC1,0.76014
NAT8L,0.68823
MAPKAPK5,0.75997
FSTL3,0.46724
GALT,0.17929
YEATS4,0.56073
BABAM1,0.61991
RALYL,0.75275
POLB,0.6502
PIP5K1A,0.41577
FAM76A,0.38311
RGS10,0.75923
ABI3,0.25494
DOCK6,0.48879
INPP5E,0.25223
KLHL22,0.75858
YAF2,0.75839
PPWD1,0.59307
NHLRC1,0.24518
GLIS2,0.75805
TIMM50,0.4062
POLR3F,0.35357
SYBU,0.75789
NKG7,0.06495
FEM1B,0.75782
WBSCR22,0.25265
HMGN1,0.75781
TTC39A,0.56756
CEP57,0.75739
ANGEL1,0.42526
BEND5,0.7573
CNNM3,0.21248
OGFRL1,0.75718
AMT,0.19314
STK24,0.75713
PIP4K2A,0.75711
OPLAH,0.16199
NTM,0.75704
DDX19B,0.41367
C1orf233,0.11676
JUNB,0.75692
SHISA9,0.75688
SNX14,0.69419
NRG3,0.75683
UQCRFS1,0.75672
DEAF1,0.46984
DPF3,0.42571
SGPL1,0.60278
OVOL2,0.75638
GALNT7,0.75636
ZFP82,0.53381
TBC1D2B,0.5347
LSM14A,0.72125
RRAD,0.38737
ACOX1,0.44624
SEC13,0.41934
FSIP2,0.75598
TRPM6,0.75591
SEMA4G,0.42687
RAB8B,0.50331
RNF121,0.72705
ZFYVE21,0.53418
CCP110,0.75536
F12,0.14431
ADAM19,0.70809
FKBP5,0.75507
WDR6,0.41884
RFC5,0.5941
ILDR2,0.75485
IDI1,0.75484
MESDC2,0.75476
FBXL7,0.75471
GRB7,0.25436
RHOBTB1,0.75442
PITHD1,0.36521
ERCC3,0.29965
DNMT3B,0.40831
DARS,0.75363
TMEM205,0.20905
FAR2,0.75346
ANKRD54,0.35522
PCNXL2,0.75324
AVL9,0.75321
INO80B,0.39789
NRCAM,0.75313
VWA5B2,0.3321
BNIP3L,0.75281
C17orf104,0.66449
ATP2A3,0.3204
MXD3,0.10223
NOL10,0.75261
NRL,0.18318
PFKFB3,0.75243
VWF,0.75226
SEC61A2,0.4157
TSNAX,0.75196
GOT1,0.61536
HOXB3,0.75185
KIF18A,0.75183
ERRFI1,0.75147
LGI4,0.22131
DMC1,0.17758
SLC13A3,0.32013
RBM15B,0.75107
TRABD2B,0.72769
C1S,0.75095
CLVS1,0.75071
APOA2,0.10548
NUSAP1,0.38971
SKIDA1,0.7506
TMEM39B,0.32239
TAX1BP1,0.75044
DNAJC3,0.75041
SLC35B1,0.29663
MYBPC1,0.75022
STRADA,0.4727
CCDC92,0.74991
TMEM238,0.12288
ACVRL1,0.61561
PPARG,0.74953
TMEM9,0.28447
HPS1,0.45267
SPAG7,0.53887
OXCT1,0.74941
ZNF706,0.74938
MYPOP,0.48518
CDK5RAP2,0.74921
FAM195A,0.33081
SEC63,0.74918
CHST2,0.18333
CAMK2N2,0.08952
RAB3GAP1,0.74857
PIGO,0.33267
NPDC1,0.29094
IGFBP2,0.74793
DVL1,0.2427
CHMP5,0.61701
HESX1,0.28564
TMTC3,0.7472
EMC8,0.74715
ARHGAP20,0.74699
AGFG2,0.31382
KIAA1147,0.64935
UNC13D,0.26952
PRKAR1B,0.65227
POLH,0.35657
RGS19,0.47632
TMEM62,0.43993
CYB561,0.7286
RGP1,0.1036
AKAP2,0.74576
WDR77,0.45732
METAP1D,0.2954
MYLK,0.74555
RNF44,0.55056
MICU1,0.35123
ZNF821,0.4019
DTL,0.74527
MUM1,0.4997
TNNT1,0.25875
GABRA4,0.74517
RGS1,0.74508
SRP9,0.74506
HSD17B6,0.13942
MYL12B,0.74335
HES7,0.19728
TBC1D14,0.74446
ASPHD2,0.72318
AC019171.1,0.06909
C9orf78,0.31998
UBL7,0.36706
KIF20A,0.46759
PIEZO2,0.74407
WDR52,0.59959
ANKRD46,0.74406
REXO2,0.64096
DAPK3,0.3274
KLK6,0.15495
TOMM22,0.30017
TNKS1BP1,0.66318
TIAM2,0.7437
DCP2,0.74364
ABCB4,0.4137
LPCAT1,0.48007
FAM134C,0.47393
NEBL,0.74329
NDUFAF4,0.74325
GUCY1A2,0.74318
DNAJC17,0.40972
NMT2,0.55089
B4GALNT3,0.74302
KIF16B,0.74276
NHP2L1,0.60542
CYP11A1,0.37157
ITGAL,0.36939
SNRPB,0.58327
CERK,0.58662
ACSL6,0.407
MFSD4,0.3345
WDR70,0.74185
SLC35F1,0.74179
PHACTR2,0.74177
CACNG2,0.74172
RFC2,0.43968
FKBP10,0.31181
UTP18,0.63762
PSMD7,0.7415
ELMO3,0.24316
SRP14,0.74131
TRIM47,0.20262
CHMP6,0.74123
MRPL24,0.16673
VPS13B,0.74101
CTD-2207O23.3,0.30766
PLK3,0.23664
PAWR,0.74093
NFE2L2,0.74092
CCNDBP1,0.48271
DEGS1,0.74064
GPD1,0.40219
FAS,0.74021
SNAP23,0.74019
BCKDHA,0.30397
SCAMP4,0.30846
PDE5A,0.73978
KCNN1,0.38451
ARL4D,0.13919
CA7,0.13472
CAPN10,0.21682
SDF4,0.21036
MDFI,0.73927
EPB42,0.21097
KCNC4,0.27231
ZDHHC18,0.26454
CARNS1,0.18343
PLD1,0.73898
NLRC5,0.64825
TRPV2,0.30543
PSTPIP1,0.31761
TMOD4,0.1906
GPR108,0.29522
RAB15,0.36048
C14orf166,0.73855
NGEF,0.6398
RARS,0.73809
SLC4A5,0.30795
BHLHE22,0.62752
BCAS1,0.73791
PRSS8,0.55146
CAMK4,0.64588
ORMDL3,0.55726
NAA20,0.61196
NSFL1C,0.34524
CPT1B,0.39798
EBF4,0.33198
OAF,0.40921
CAPN7,0.68878
EHD2,0.54938
LPP,0.73722
EHBP1L1,0.24124
HIF3A,0.46526
FEZF1,0.73683
C17orf49,0.17706
DKK2,0.73655
NPTXR,0.56992
EMC1,0.45709
PCDH20,0.73637
PKN1,0.51104
RAB22A,0.43894
KLHL18,0.48633
MFAP3L,0.73613
CD19,0.73611
TRAPPC11,0.65759
ITGA1,0.73601
FOSL1,0.28965
RFC3,0.73594
FCHSD1,0.10296
SERINC1,0.73584
IMPDH1,0.30124
CNNM4,0.39311
ECE2,0.2162
YPEL1,0.31226
PCMTD1,0.73303
AZI2,0.73558
TMEM9B,0.73547
NFATC1,0.73519
UCHL3,0.73511
DLX6,0.7351
GALK1,0.16336
MAP3K9,0.73508
ABCC4,0.73498
PEX14,0.73471
FAM98B,0.73471
TMEM41B,0.73469
PGAP3,0.24523
GOLGA7,0.7345
IARS,0.69683
ZFP62,0.73439
TDG,0.60209
DPM1,0.68905
STK32C,0.47988
ZNF473,0.23513
MYBPC3,0.29122
ATE1,0.73401
WRNIP1,0.73394
TXNDC16,0.63429
KIAA1324L,0.70486
NYNRIN,0.60615
SRP72,0.63898
DDRGK1,0.32414
MXI1,0.63461
MFSD2A,0.46582
RNF138,0.73079
VCAM1,0.73321
STMN1,0.29168
EIF2B2,0.2539
FAM122A,0.73171
PGAP1,0.73284
IKZF3,0.73262
IKBKAP,0.70028
STON2,0.7324
AEBP1,0.59239
RCN2,0.73226
UCK1,0.23639
GPAM,0.73215
HEATR5B,0.73212
MAPKAPK3,0.27768
ZNF622,0.73174
EEPD1,0.73158
ANKRD13A,0.53657
ZFP14,0.34006
NOL3,0.13559
TADA3,0.33482
SGSM2,0.71304
ADAR,0.36286
GOLGA1,0.70576
TP53,0.60764
CAMK1,0.29375
ITGB7,0.37736
GFRA1,0.73044
SIX1,0.73043
UBA5,0.55683
PARP2,0.25081
SLC13A5,0.22383
GULP1,0.73012
FOXC1,0.72992
PXK,0.72992
SEC24A,0.67062
EYA4,0.72975
PPFIA4,0.2513
RPL36,0.55362
SLCO4A1,0.46344
WDR18,0.64941
RNF207,0.32509
PRKD3,0.72948
TBCCD1,0.41824
FLJ27365,0.49779
GAD1,0.37306
MRFAP1,0.72928
IRF2BPL,0.72923
ZAP70,0.51628
IFT20,0.34826
GMIP,0.38118
ACAA1,0.29086
FAM178A,0.72896
C20orf194,0.72891
ALOX5,0.28556
AATK,0.62646
ACTR8,0.42752
ANXA1,0.72825
CGGBP1,0.72818
ACAN,0.72804
GPSM2,0.2458
CALU,0.61732
PODXL,0.72783
SLC4A1,0.23646
PLK4,0.72739
PEX26,0.72729
AP3M1,0.46793
NCAPH2,0.47205
PMM1,0.23547
KCNQ4,0.58209
UTRN,0.72658
DAG1,0.72649
CLTB,0.60775
KRT2,0.21963
FDX1,0.72639
SORCS3,0.72613
DPH2,0.13407
MUS81,0.13975
PRDM6,0.7258
SEC11A,0.72576
SEMA5A,0.72567
ZNF526,0.52763
ALDH5A1,0.70285
GLI1,0.41444
UBE2QL1,0.57714
C1orf27,0.72552
ARHGEF26,0.72551
ZNF583,0.21439
MSMO1,0.72541
RAB13,0.30028
PDSS1,0.49872
TTC37,0.66492
HTRA2,0.36645
GLCCI1,0.72507
KDELR2,0.58893
GREM1,0.7246
RAB4B,0.55978
ARHGEF3,0.65295
EXTL3,0.72483
RAB7L1,0.42307
PANK3,0.72477
ZNHIT1,0.12368
RNASEH2A,0.17584
AKAP8,0.72467
DPP6,0.72464
SGCE,0.62766
DPY30,0.63484
KCTD20,0.36925
CARD10,0.50445
EXOC2,0.72413
LRRC2,0.13054
USP35,0.50129
CCDC18,0.37955
PCSK7,0.59936
GUCD1,0.46387
TARBP1,0.72374
ATP9B,0.72363
MOB1A,0.50421
EMC2,0.72351
KCTD11,0.17045
ADAMTS19,0.6941
GIGYF1,0.33072
GDPD1,0.29775
RTCB,0.68952
NPC1,0.72292
GFRA3,0.32722
FDX1L,0.23019
ITFG1,0.70762
USP39,0.42348
SIX2,0.72253
TRHDE,0.68348
TNFRSF1B,0.71859
CEP85,0.38604
ASIC4,0.25268
SAMD1,0.19481
ADO,0.72201
IFT172,0.4502
SLMO2,0.72194
BAX,0.46633
FSD1,0.28687
TBC1D23,0.62854
PDE6C,0.3668
FGFRL1,0.4766
TOM1L2,0.54801
NDUFAB1,0.72132
ZFAND6,0.72123
SNF8,0.33252
HAPLN2,0.14192
PLAG1,0.68455
H1F0,0.21095
CORO1A,0.66288
DISP1,0.72072
ETFA,0.72067
TSPAN13,0.72059
DHRS13,0.18404
SVIL,0.72048
RPS29,0.72034
HSD17B4,0.7202
ANKRD9,0.20727
PYCR2,0.25243
OSR1,0.71954
ETFB,0.43142
AP1AR,0.71908
ABTB2,0.71891
ITM2C,0.62986
KIF3B,0.66691
MGAT4B,0.60611
RP11-599B13.6,0.2411
SAMD10,0.19661
TSPAN17,0.19282
HADHA,0.40933
CYB5D1,0.13473
FAM188A,0.71781
HSD3B7,0.12344
MEF2B,0.22597
MBOAT7,0.35199
TXNRD1,0.71748
LTA4H,0.59563
USP38,0.71739
RAD9A,0.18409
KDM5B,0.64719
ZW10,0.66035
DDX60,0.71715
SLC6A3,0.7169
NUAK2,0.33908
RPRD1B,0.53082
GTPBP3,0.18867
TPRA1,0.53944
SMYD2,0.71643
TWIST1,0.71642
SOX12,0.7164
ZMYM6,0.60294
CPOX,0.71631
KDM4C,0.71626
MIA3,0.71619
TUBE1,0.56327
RTEL1,0.46887
SARM1,0.21214
TEP1,0.2281
EIF4E3,0.71584
ARL5B,0.71583
C19orf33,0.32888
OSBPL1A,0.71569
TUBD1,0.47037
SH2B3,0.39918
HSF1,0.71522
POLE2,0.59159
PPP1R1B,0.5291
TRANK1,0.71512
RPIA,0.71511
CTD-2116N17.1,0.3271
ZNF750,0.7149
ENOSF1,0.71489
SCG3,0.50675
SUCLA2,0.71479
MARCH9,0.34168
CIAPIN1,0.22541
RP11-796G6.2,0.14975
ARL3,0.29161
CRYAB,0.33227
FCER1G,0.28378
KRT4,0.25108
LIN37,0.17752
PAPD4,0.46981
GLMN,0.37133
IGF1,0.71406
SUGT1,0.71402
DEF8,0.39897
CASC4,0.46405
MOSPD3,0.08986
LTBP1,0.71384
SNTB1,0.71382
MAN2C1,0.30012
BACE2,0.71376
IL10,0.18487
RABGAP1L,0.50893
SLCO3A1,0.71363
ZMYND10,0.14364
SPRYD4,0.1291
CAB39,0.62403
SETD7,0.71296
SPDEF,0.71293
CTSF,0.16669
HN1,0.20716
ELMOD2,0.71251
KNTC1,0.46214
KCMF1,0.69479
RBM14-RBM4,0.40817
WNT9A,0.71198
RHCG,0.32559
MED31,0.31969
EEF1B2,0.71187
DYNC1I1,0.49715
MYH3,0.71155
KIAA1432,0.71152
ZNF567,0.2828
MYO5C,0.71117
MEGF10,0.71111
PFKP,0.71109
VOPP1,0.71101
USPL1,0.71099
RPL17-C18orf32,0.71098
AHNAK,0.71085
CSRNP3,0.71085
CSGALNACT2,0.71066
ZC3H6,0.71063
SMIM20,0.71062
EXOSC5,0.18794
TXNDC9,0.42143
MCM2,0.4598
TCF21,0.71035
EYA2,0.7103
PIANP,0.29752
NBAS,0.70964
PTPRE,0.66792
IFNGR2,0.70947
TXN,0.70609
ITIH4,0.21529
TIMM13,0.20927
NFYB,0.70889
MCM3AP,0.70882
CARF,0.59042
NPM3,0.47428
ZDHHC6,0.70865
LETM1,0.51662
ELMOD1,0.59884
USP13,0.65482
STRADB,0.47259
NR4A1,0.68704
TMEM59L,0.17764
LIMA1,0.70808
ELAC1,0.70807
RTN4R,0.6816
SUMO3,0.37744
FNTB,0.66347
ACACB,0.70779
CPT1A,0.37296
SLC30A9,0.70049
TBCK,0.55183
SLC17A6,0.70775
POLR2F,0.19701
BIVM,0.70767
TWISTNB,0.70766
SLC26A9,0.63151
PKP2,0.70764
GPATCH1,0.5073
LEPREL4,0.23491
VPS41,0.70717
LUM,0.70712
DOPEY2,0.70707
UHRF1BP1L,0.70702
ABCB6,0.12153
MEX3B,0.70697
KIAA0196,0.66403
FH,0.70689
IL23A,0.10975
MYO7A,0.26757
UBA6,0.64152
SV2B,0.53875
ZNF507,0.70654
NAPRT1,0.10025
TONSL,0.29356
C5orf24,0.70625
CLIP4,0.70618
SLC33A1,0.68905
AK5,0.52062
NDST3,0.70574
BMP5,0.7057
MYH6,0.32139
ZBED4,0.58211
ONECUT2,0.70552
ETNPPL,0.31802
MATK,0.21536
CEP164,0.50581
PLEKHA1,0.7053
GPRC5B,0.63352
SSR2,0.36142
STK3,0.49216
UNC45A,0.39955
VPS53,0.7046
GEMIN5,0.7012
PEAK1,0.70434
FAM32A,0.30799
APCDD1,0.70428
ARHGEF25,0.4298
VRK1,0.70401
DPY19L3,0.57562
COASY,0.1856
LAMA2,0.70384
RBBP8,0.70368
G6PC3,0.2747
PHLDB2,0.70344
FUT8,0.52326
NDRG3,0.69424
ISCA1,0.70334
NDUFS8,0.22228
GUCY1B3,0.70318
NUP93,0.67249
TYK2,0.39846
PIBF1,0.70311
ADCY8,0.70306
FOXL2,0.341
METRNL,0.70287
PRSS22,0.27735
EDIL3,0.70259
PHTF2,0.58689
KLHL1,0.70248
RP11-1167A19.2,0.39107
GPR158,0.70241
DHRS3,0.70235
GALNT10,0.7023
ARL4A,0.7023
MAPK7,0.61096
GJC2,0.35705
TTC39C,0.49783
PRKCQ,0.70208
TBX4,0.70203
BDP1,0.70194
SLC16A9,0.35781
F13A1,0.70169
DUSP22,0.70167
EML4,0.70149
ATP4A,0.19557
TMEM63A,0.30109
BTBD1,0.70111
SRR,0.51101
POLD4,0.14986
DMKN,0.54359
GOLGA5,0.70065
LMX1A,0.70063
C1orf51,0.63653
ZNF304,0.31842
RNF6,0.70046
CENPF,0.70031
LAMTOR3,0.70011
ZBTB26,0.4755
ADAP1,0.61598
CTU1,0.22341
RRBP1,0.57777
NBL1,0.3037
CDK7,0.62346
RASSF5,0.51848
CLP1,0.24073
ACBD3,0.69943
PKLR,0.11633
CMTM6,0.69922
HLX,0.69921
RNF213,0.69905
CIITA,0.69909
ZNF451,0.69903
KCNG1,0.26798
LGMN,0.69898
SLC35C1,0.23012
RABGGTB,0.69871
FBXO30,0.69859
MAL2,0.69845
MFSD10,0.15922
WWP2,0.65622
TFG,0.69834
LIN28B,0.69832
MACROD1,0.34372
PFN2,0.65104
SLC35F3,0.42639
